MovieID,Title,Genres,rating_cnt,trending_score,classic_score
1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",2077.0,-0.026277451320220108,18.821727133431068
2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",701.0,-0.029643300251133188,3.3676343861228886
3,Grumpier Old Men (1995),"['Comedy', 'Romance']",478.0,-0.02583011973186931,1.6256638955989486
4,Waiting to Exhale (1995),"['Comedy', 'Drama']",170.0,-0.0324453939201633,-0.7802863783085563
5,Father of the Bride Part II (1995),['Comedy'],296.0,-0.02856552291983092,0.20396600647178653
6,Heat (1995),"['Action', 'Crime', 'Thriller']",940.0,-0.02583948881034932,6.979452408613608
7,Sabrina (1995),"['Comedy', 'Romance']",458.0,-0.025650035079541188,1.4694333583322274
8,Tom and Huck (1995),"['Adventure', ""Children's""]",68.0,-0.033000376641442807,-1.577062118368834
9,Sudden Death (1995),['Action'],102.0,-0.03297570648423882,-1.3114702050154081
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",888.0,-0.027821749776326142,6.437853212755642
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",1033.0,-0.029168126692616016,7.948081739667279
12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",160.0,-0.03191547737427778,-0.5722677646279446
13,Balto (1995),"['Animation', ""Children's""]",99.0,-0.03256027269263011,-1.3349047856054164
14,Nixon (1995),['Drama'],153.0,-0.03220391496847459,-1.2174431133136925
15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",146.0,-0.032697187359797715,-0.9677630230286216
16,Casino (1995),"['Drama', 'Thriller']",682.0,-0.029403766055733617,4.292287167626005
17,Sense and Sensibility (1995),"['Drama', 'Romance']",835.0,-0.02835986087952344,5.885838647746561
18,Four Rooms (1995),['Thriller'],157.0,-0.03250023781296133,-0.8818362275319251
19,Ace Ventura: When Nature Calls (1995),['Comedy'],389.0,-0.03157542071543043,0.620292003174693
20,Money Train (1995),['Action'],160.0,-0.0328852316668715,-0.8584016469419169
21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",1356.0,-0.028710230794687864,11.31224597547734
22,Copycat (1995),"['Crime', 'Drama', 'Thriller']",378.0,-0.031867697814704846,0.8445112092653431
23,Assassins (1995),['Thriller'],126.0,-0.03285226082824923,-1.1239935602953428
24,Powder (1995),"['Drama', 'Sci-Fi']",624.0,-0.03108806449903475,2.7661468176460122
25,Leaving Las Vegas (1995),"['Drama', 'Romance']",980.0,-0.022060449153974752,7.396067174658198
26,Othello (1995),['Drama'],100.0,-0.024665075171001805,-1.7694576783227736
27,Now and Then (1995),['Drama'],61.0,-0.032956083676231325,-1.6317428064121864
28,Persuasion (1995),['Romance'],179.0,-0.031074783569786824,-0.9466435153847091
29,"City of Lost Children, The (1995)","['Adventure', 'Sci-Fi']",403.0,-0.023999458018578484,1.3863991744649924
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama'],74.0,-0.03310133651377352,-2.040257276251757
31,Dangerous Minds (1995),['Drama'],141.0,-0.03190721145000613,-1.006820657345302
32,Twelve Monkeys (1995),"['Drama', 'Sci-Fi']",1511.0,-0.021773228899698047,12.926628193900125
33,Wings of Courage (1995),"['Adventure', 'Romance']",4.0,-0.033113223658368635,-2.0769998376223415
34,Babe (1995),"[""Children's"", 'Comedy', 'Drama']",1751.0,-0.02795643053730073,15.426316790167663
35,Carrington (1995),"['Drama', 'Romance']",70.0,-0.02893132591671342,-1.5614390646421619
36,Dead Man Walking (1995),['Drama'],928.0,-0.030172212744592416,6.854467978800232
37,Across the Sea of Time (1995),['Documentary'],8.0,-0.0330330403331394,-2.7276716402253296
38,It Takes Two (1995),['Comedy'],28.0,-0.032977754883361785,-1.889523192902276
39,Clueless (1995),"['Comedy', 'Romance']",1362.0,-0.01707422499568313,11.37473819038403
40,"Cry, the Beloved Country (1995)",['Drama'],30.0,-0.032028042466914985,-2.4985335189008056
41,Richard III (1995),"['Drama', 'War']",242.0,-0.03202554599894599,-0.2904752588644806
42,Dead Presidents (1995),"['Action', 'Crime', 'Drama']",221.0,-0.03195903117612762,-0.38189850827841754
43,Restoration (1995),['Drama'],166.0,-0.03158525368793619,-0.9467879000555507
44,Mortal Kombat (1995),"['Action', 'Adventure']",311.0,-0.03238405179229257,0.3211389094218273
45,To Die For (1995),"['Comedy', 'Drama']",544.0,-0.02846910892231156,2.8549662247721708
